,Reporting starts,Reporting ends,Campaign name,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install (GBP),Cost per mobile app action (GBP),Desktop app installs,Desktop app engagement,Cost per desktop app install (GBP),Cost per desktop app engagement (GBP),Post reactions,Post comments,Post shares
0,2014-02-21,2018-01-29,Campaign1,0,11451.0,,1.2756833464326,,,,,,1807.0,42.0,133.0
1,2015-12-04,2015-12-04,Campaign2,inactive,,,,,,,,,2.0,,
2,2015-10-21,2015-10-21,Campaign3,inactive,2.0,,3.53,,,,,,2.0,,
3,2015-10-20,2015-10-20,Campaign3,inactive,2.0,,16.5,,,,,,15.0,,
4,2015-10-20,2015-10-20,Campaign4,inactive,,,,,,,,,,,
5,2015-10-19,2015-10-19,Campaign4,inactive,17.0,,0.8823529411764699,,,,,,27.0,1.0,
6,2015-10-19,2015-10-19,Campaign3,inactive,2.0,,6.6,,,,,,15.0,,
7,2015-10-18,2015-10-18,Campaign4,inactive,30.0,,1.1,,,,,,71.0,,
8,2015-10-17,2015-10-17,Campaign5,inactive,1.0,,7.57,,,,,,,,
9,2015-10-17,2015-10-17,Campaign4,inactive,26.0,,1.2692307692308,,,,,,91.0,,
10,2015-10-16,2015-10-16,Campaign4,inactive,11.0,,1.0627272727273,,,,,,17.0,,
11,2015-10-16,2015-10-16,Campaign5,inactive,15.0,,2.1946666666667,,,,,,2.0,,
12,2015-10-15,2015-10-15,Campaign5,inactive,26.0,,1.2669230769231001,,,,,,2.0,,
13,2015-10-14,2015-10-14,Campaign5,inactive,,,,,,,,,,,
14,2015-09-17,2015-09-17,Campaign6,inactive,2.0,,1.64,,,,,,1.0,,
15,2015-08-28,2015-08-28,Campaign7,inactive,,,,,,,,,,,
16,2015-08-27,2015-08-27,Campaign7,inactive,,,,,,,,,,,
17,2015-07-16,2015-07-16,Campaign8,inactive,1.0,,1.5,,,,,,,,
18,2015-07-16,2015-07-16,Campaign9,inactive,,,,,,,,,,,
19,2015-07-16,2015-07-16,Campaign10,inactive,,,,,,,,,,,
20,2015-07-16,2015-07-16,Campaign11,inactive,,,,,,,,,,,
21,2015-07-16,2015-07-16,Campaign12,inactive,1.0,,2.19,,,,,,,,
22,2015-07-16,2015-07-16,Campaign13,inactive,,,,,,,,,,,
23,2015-07-15,2015-07-15,Campaign10,inactive,,,,,,,,,,,
24,2015-07-15,2015-07-15,Campaign14,inactive,,,,,,,,,,,
25,2015-07-15,2015-07-15,Campaign11,inactive,,,,,,,,,,,
26,2015-07-15,2015-07-15,Campaign12,inactive,,,,,,,,,,,
27,2015-07-15,2015-07-15,Campaign13,inactive,,,,,,,,,,,
28,2015-07-15,2015-07-15,Campaign8,inactive,,,,,,,,,,,
29,2015-07-15,2015-07-15,Campaign9,inactive,,,,,,,,,,,
30,2015-07-14,2015-07-14,Campaign13,inactive,,,,,,,,,,,
31,2015-07-14,2015-07-14,Campaign14,inactive,,,,,,,,,,,
32,2015-07-14,2015-07-14,Campaign10,inactive,,,,,,,,,,,
33,2015-07-14,2015-07-14,Campaign9,inactive,,,,,,,,,,,
34,2015-07-14,2015-07-14,Campaign12,inactive,,,,,,,,,,,
35,2015-07-14,2015-07-14,Campaign11,inactive,,,,,,,,,,,
36,2015-07-16,2015-07-16,Campaign15,inactive,,,,,,,,,,,
37,2015-07-15,2015-07-15,Campaign15,inactive,,,,,,,,,,,
38,2015-07-14,2015-07-14,Campaign15,inactive,,,,,,,,,,,
39,2015-11-05,2015-11-05,Campaign16,inactive,,,,,,,,,2.0,,
40,2015-11-04,2015-11-04,Campaign16,inactive,15.0,,2.372,,,,,,4.0,,1.0
41,2015-11-03,2015-11-03,Campaign16,inactive,12.0,,2.75,,,,,,4.0,,
42,2015-11-02,2015-11-02,Campaign16,inactive,25.0,,1.32,,,,,,8.0,,
43,2015-11-01,2015-11-01,Campaign16,inactive,25.0,,1.32,,,,,,8.0,,
44,2015-10-31,2015-10-31,Campaign16,inactive,13.0,,2.5384615384615,,,,,,6.0,,
45,2015-09-11,2015-09-11,Campaign17,inactive,10.0,,1.864,,,,,,5.0,,1.0
46,2015-09-10,2015-09-10,Campaign17,inactive,24.0,,1.375,,,,,,7.0,,
47,2015-09-09,2015-09-09,Campaign17,inactive,16.0,,2.0625,,,,,,5.0,,1.0
48,2015-09-08,2015-09-08,Campaign17,inactive,3.0,,5.36,,,,,,3.0,,1.0
49,2015-09-08,2015-09-08,Campaign16,inactive,9.0,,1.2411111111111002,,,,,,4.0,,
50,2015-09-07,2015-09-07,Campaign16,inactive,16.0,,2.0625,,,,,,17.0,,4.0
51,2015-09-06,2015-09-06,Campaign16,inactive,28.0,,1.1785714285714,,,,,,16.0,,2.0
52,2015-09-05,2015-09-05,Campaign16,inactive,17.0,,1.9411764705882002,,,,,,18.0,,3.0
53,2015-09-04,2015-09-04,Campaign16,inactive,25.0,,1.3196,,,,,,18.0,,2.0
54,2015-09-03,2015-09-03,Campaign16,inactive,17.0,,1.9411764705882002,,,,,,14.0,,
55,2015-09-02,2015-09-02,Campaign16,inactive,24.0,,1.375,,,,,,11.0,,2.0
56,2015-09-01,2015-09-01,Campaign16,inactive,21.0,,1.5714285714286,,,,,,15.0,,
57,2015-08-31,2015-08-31,Campaign16,inactive,33.0,,1.0,,,,,,14.0,,1.0
58,2015-08-30,2015-08-30,Campaign16,inactive,13.0,,2.5369230769231,,,,,,11.0,,1.0
59,2015-08-29,2015-08-29,Campaign16,inactive,18.0,,1.8311111111111,,,,,,3.0,,1.0
60,2015-08-28,2015-08-28,Campaign16,inactive,14.0,,1.3507142857143,,,,,,3.0,,
61,2015-08-05,2015-08-05,Campaign17,inactive,1.0,,0.0,,,,,,,,
62,2015-08-05,2015-08-05,Campaign16,inactive,5.0,,2.144,,,,,,,,
63,2015-08-04,2015-08-04,Campaign16,inactive,,,,,,,,,,,
64,2015-08-04,2015-08-04,Campaign17,inactive,2.0,,1.105,,,,,,,,
65,2015-08-03,2015-08-03,Campaign17,inactive,,,,,,,,,,,
66,2015-08-03,2015-08-03,Campaign16,inactive,2.0,,2.165,,,,,,,,
67,2015-08-02,2015-08-02,Campaign17,inactive,3.0,,1.0,,,,,,,,
68,2015-08-02,2015-08-02,Campaign16,inactive,10.0,,1.136,,,,,,,,
69,2015-08-01,2015-08-01,Campaign17,inactive,1.0,,2.1,,,,,,,,
70,2015-08-01,2015-08-01,Campaign16,inactive,,,,,,,,,,,
71,2015-07-31,2015-07-31,Campaign16,inactive,,,,,,,,,,,
72,2015-07-31,2015-07-31,Campaign17,inactive,1.0,,2.22,,,,,,,,
73,2015-07-30,2015-07-30,Campaign17,inactive,,,,,,,,,,,
74,2015-07-30,2015-07-30,Campaign16,inactive,,,,,,,,,,,
75,2015-07-29,2015-07-29,Campaign16,inactive,1.0,,2.06,,,,,,,,
76,2015-07-29,2015-07-29,Campaign17,inactive,1.0,,1.0,,,,,,,,
77,2015-07-28,2015-07-28,Campaign16,inactive,7.0,,1.0314285714286,,,,,,,,
78,2015-07-28,2015-07-28,Campaign17,inactive,3.0,,1.41,,,,,,2.0,,
79,2015-07-27,2015-07-27,Campaign16,inactive,7.0,,1.0985714285714,,,,,,2.0,,1.0
80,2015-07-27,2015-07-27,Campaign17,inactive,2.0,,2.045,,,,,,2.0,,
81,2015-07-26,2015-07-26,Campaign16,inactive,17.0,,1.24,,,,,,1.0,,
82,2015-07-26,2015-07-26,Campaign17,inactive,8.0,,1.39375,,,,,,1.0,,
83,2015-07-25,2015-07-25,Campaign16,inactive,6.0,,1.26,,,,,,2.0,,
84,2015-07-25,2015-07-25,Campaign17,inactive,4.0,,1.5875,,,,,,,,
85,2015-07-24,2015-07-24,Campaign16,inactive,5.0,,1.526,,,,,,,,
86,2015-07-24,2015-07-24,Campaign17,inactive,3.0,,2.1366666666667,,,,,,,,
87,2015-07-23,2015-07-23,Campaign16,inactive,9.0,,1.33,,,,,,1.0,,1.0
88,2015-07-23,2015-07-23,Campaign17,inactive,5.0,,1.754,,,,,,,,
89,2015-07-22,2015-07-22,Campaign16,inactive,5.0,,1.208,,,,,,3.0,,
90,2015-07-22,2015-07-22,Campaign17,inactive,6.0,,1.6683333333333001,,,,,,,,
91,2015-07-21,2015-07-21,Campaign16,inactive,13.0,,1.6723076923076998,,,,,,1.0,,
92,2015-07-21,2015-07-21,Campaign17,inactive,7.0,,1.5314285714286,,,,,,1.0,,
93,2015-07-20,2015-07-20,Campaign16,inactive,18.0,,1.235,,,,,,5.0,,1.0
94,2015-07-20,2015-07-20,Campaign17,inactive,16.0,,1.03125,,,,,,2.0,,
95,2015-07-19,2015-07-19,Campaign16,inactive,18.0,,1.2694444444444,,,,,,1.0,,
96,2015-07-19,2015-07-19,Campaign17,inactive,24.0,,1.1791666666667,,,,,,4.0,,1.0
97,2015-07-18,2015-07-18,Campaign16,inactive,18.0,,1.31,,,,,,2.0,,
98,2015-07-18,2015-07-18,Campaign17,inactive,23.0,,1.1056521739129999,,,,,,,,
99,2015-07-17,2015-07-17,Campaign16,inactive,12.0,,1.3683333333333,,,,,,2.0,,
100,2015-07-17,2015-07-17,Campaign17,inactive,7.0,,1.71,,,,,,2.0,,
101,2015-07-16,2015-07-16,Campaign18,inactive,2.0,,0.75,,,,,,,,
102,2015-07-16,2015-07-16,Campaign19,inactive,,,,,,,,,,,
103,2015-07-16,2015-07-16,Campaign20,inactive,,,,,,,,,,,
104,2015-07-16,2015-07-16,Campaign21,inactive,,,,,,,,,,,
105,2015-07-16,2015-07-16,Campaign22,inactive,,,,,,,,,,,
106,2015-07-16,2015-07-16,Campaign23,inactive,2.0,,2.15,,,,,,,,
107,2015-07-16,2015-07-16,Campaign24,inactive,,,,,,,,,,,
108,2015-07-16,2015-07-16,Campaign25,inactive,,,,,,,,,,,
109,2015-07-16,2015-07-16,Campaign26,inactive,,,,,,,,,,,
110,2015-07-16,2015-07-16,Campaign17,inactive,15.0,,1.8326666666667,,,,,,2.0,,1.0
111,2015-07-16,2015-07-16,Campaign27,inactive,,,,,,,,,,,
112,2015-07-16,2015-07-16,Campaign16,inactive,25.0,,1.464,,,,,,3.0,,1.0
113,2015-07-15,2015-07-15,Campaign27,inactive,1.0,,2.14,,,,,,,,
114,2015-07-15,2015-07-15,Campaign18,inactive,,,,,,,,,1.0,,1.0
115,2015-07-15,2015-07-15,Campaign23,inactive,5.0,,1.5119999999999998,,,,,,,,
116,2015-07-15,2015-07-15,Campaign24,inactive,,,,,,,,,,,
117,2015-07-15,2015-07-15,Campaign19,inactive,,,,,,,,,,,
118,2015-07-15,2015-07-15,Campaign25,inactive,,,,,,,,,1.0,,
119,2015-07-15,2015-07-15,Campaign16,inactive,54.0,,1.502962962963,,,,,,8.0,,
120,2015-07-15,2015-07-15,Campaign21,inactive,,,,,,,,,1.0,,
121,2015-07-15,2015-07-15,Campaign17,inactive,24.0,,1.6570833333333002,,,,,,5.0,,
122,2015-07-15,2015-07-15,Campaign28,inactive,,,,,,,,,,,
123,2015-07-15,2015-07-15,Campaign20,inactive,2.0,,2.16,,,,,,,,
124,2015-07-14,2015-07-14,Campaign16,inactive,21.0,,1.7180952380952002,,,,,,1.0,,
125,2015-07-14,2015-07-14,Campaign17,inactive,15.0,,1.7173333333333,,,,,,2.0,,1.0
126,2015-07-14,2015-07-14,Campaign25,inactive,1.0,,1.5,,,,,,,,
127,2015-07-14,2015-07-14,Campaign27,inactive,1.0,,2.2,,,,,,2.0,,
128,2015-07-14,2015-07-14,Campaign21,inactive,,,,,,,,,,,
129,2015-07-14,2015-07-14,Campaign20,inactive,,,,,,,,,,,
130,2015-07-14,2015-07-14,Campaign23,inactive,2.0,,1.57,,,,,,,,
131,2015-07-14,2015-07-14,Campaign19,inactive,,,,,,,,,,,
132,2015-07-14,2015-07-14,Campaign28,inactive,,,,,,,,,,,
133,2015-07-14,2015-07-14,Campaign22,inactive,,,,,,,,,,,
134,2015-07-14,2015-07-14,Campaign18,inactive,,,,,,,,,,,
135,2015-07-14,2015-07-14,Campaign24,inactive,,,,,,,,,,,
136,2015-07-13,2015-07-13,Campaign17,inactive,3.0,,1.39,,,,,,,,
137,2015-07-13,2015-07-13,Campaign25,inactive,1.0,,2.06,,,,,,,,
138,2015-07-13,2015-07-13,Campaign16,inactive,4.0,,1.675,,,,,,,,
139,2015-07-13,2015-07-13,Campaign27,inactive,1.0,,2.25,,,,,,,,
140,2015-07-13,2015-07-13,Campaign20,inactive,,,,,,,,,,,
141,2015-07-13,2015-07-13,Campaign23,inactive,1.0,,2.22,,,,,,,,
142,2015-07-13,2015-07-13,Campaign19,inactive,,,,,,,,,,,
143,2015-10-31,2015-10-31,Campaign29,inactive,14.0,,2.3357142857142996,,,,,,5.0,,
144,2015-10-30,2015-10-30,Campaign29,inactive,17.0,,1.9411764705882002,,,,,,7.0,,
145,2015-10-29,2015-10-29,Campaign29,inactive,18.0,,1.8333333333333,,,,,,3.0,,
146,2015-10-28,2015-10-28,Campaign29,inactive,19.0,,1.7368421052631997,,,,,,4.0,,
147,2015-10-27,2015-10-27,Campaign29,inactive,16.0,,2.0625,,,,,,5.0,,
148,2015-10-26,2015-10-26,Campaign29,inactive,12.0,,2.75,,,,,,8.0,,
149,2015-10-25,2015-10-25,Campaign29,inactive,19.0,,1.7336842105263002,,,,,,3.0,,
150,2015-10-24,2015-10-24,Campaign29,inactive,14.0,,2.3571428571429,,,,,,4.0,,1.0
151,2015-10-23,2015-10-23,Campaign29,inactive,20.0,,1.65,,,,,,6.0,,
152,2015-10-22,2015-10-22,Campaign29,inactive,17.0,,1.9382352941176,,,,,,4.0,,
153,2015-10-21,2015-10-21,Campaign29,inactive,19.0,,1.7368421052631997,,,,,,6.0,,2.0
154,2015-08-28,2015-08-28,Campaign29,inactive,3.0,,2.2966666666667,,,,,,,,
155,2015-08-27,2015-08-27,Campaign29,inactive,21.0,,1.5714285714286,,,,,,8.0,,
156,2015-08-26,2015-08-26,Campaign29,inactive,18.0,,1.8294444444443998,,,,,,6.0,,
157,2015-08-25,2015-08-25,Campaign29,inactive,20.0,,1.65,,,,,,8.0,,
158,2015-08-24,2015-08-24,Campaign29,inactive,22.0,,1.5,,,,,,5.0,,
159,2015-08-23,2015-08-23,Campaign29,inactive,17.0,,1.9382352941176,,,,,,4.0,1.0,
160,2015-08-22,2015-08-22,Campaign29,inactive,13.0,,2.5369230769231,,,,,,4.0,2.0,
161,2015-08-21,2015-08-21,Campaign29,inactive,16.0,,2.060625,,,,,,5.0,,1.0
162,2015-08-20,2015-08-20,Campaign29,inactive,25.0,,1.3192,,,,,,6.0,,
163,2015-08-19,2015-08-19,Campaign29,inactive,24.0,,1.3720833333333,,,,,,2.0,,1.0
164,2015-08-18,2015-08-18,Campaign29,inactive,14.0,,2.3535714285714002,,,,,,3.0,,1.0
165,2015-08-17,2015-08-17,Campaign29,inactive,28.0,,1.1785714285714,,,,,,9.0,,1.0
166,2015-08-16,2015-08-16,Campaign29,inactive,27.0,,1.2222222222222,,,,,,10.0,2.0,2.0
167,2015-08-15,2015-08-15,Campaign29,inactive,38.0,,0.86842105263158,,,,,,7.0,,1.0
168,2015-08-14,2015-08-14,Campaign29,inactive,24.0,,1.375,,,,,,20.0,,3.0
169,2015-08-13,2015-08-13,Campaign29,inactive,22.0,,1.5,,,,,,6.0,,
170,2015-08-12,2015-08-12,Campaign29,inactive,17.0,,1.9411764705882002,,,,,,3.0,,
171,2015-08-11,2015-08-11,Campaign29,inactive,42.0,,1.0404761904761999,,,,,,5.0,,1.0
172,2015-08-10,2015-08-10,Campaign29,inactive,17.0,,2.0888235294118,,,,,,2.0,,
173,2015-08-09,2015-08-09,Campaign29,inactive,14.0,,2.3514285714286,,,,,,3.0,,
174,2015-08-08,2015-08-08,Campaign29,inactive,7.0,,4.7057142857143,,,,,,2.0,,
175,2015-08-07,2015-08-07,Campaign29,inactive,12.0,,2.75,,,,,,2.0,,
176,2015-08-06,2015-08-06,Campaign29,inactive,17.0,,1.9405882352941,,,,,,,,1.0
177,2015-08-05,2015-08-05,Campaign29,inactive,14.0,,2.3571428571429,,,,,,6.0,,
178,2015-08-04,2015-08-04,Campaign29,inactive,7.0,,1.4471428571429,,,,,,,,1.0
179,2015-08-03,2015-08-03,Campaign29,inactive,1.0,,2.12,,,,,,,,
180,2015-08-02,2015-08-02,Campaign29,inactive,5.0,,1.354,,,,,,1.0,,
181,2015-08-01,2015-08-01,Campaign29,inactive,4.0,,1.88,,,,,,,,
182,2015-07-31,2015-07-31,Campaign29,inactive,4.0,,1.5975,,,,,,2.0,,
183,2015-07-30,2015-07-30,Campaign29,inactive,4.0,,1.6175,,,,,,1.0,,
184,2015-07-29,2015-07-29,Campaign29,inactive,8.0,,1.40375,,,,,,,,
185,2015-07-28,2015-07-28,Campaign29,inactive,7.0,,1.2857142857143,,,,,,2.0,,
186,2015-07-27,2015-07-27,Campaign29,inactive,10.0,,1.1,,,,,,,,
187,2015-07-26,2015-07-26,Campaign29,inactive,14.0,,1.075,,,,,,5.0,,1.0
188,2015-07-25,2015-07-25,Campaign29,inactive,10.0,,1.212,,,,,,1.0,,
189,2015-07-24,2015-07-24,Campaign29,inactive,11.0,,1.0763636363636,,,,,,2.0,,
190,2015-07-23,2015-07-23,Campaign29,inactive,9.0,,1.5966666666667,,,,,,,,
191,2015-07-22,2015-07-22,Campaign29,inactive,16.0,,1.45375,,,,,,1.0,,
192,2015-07-21,2015-07-21,Campaign29,inactive,15.0,,1.446,,,,,,1.0,,
193,2015-07-20,2015-07-20,Campaign29,inactive,19.0,,1.5552631578946998,,,,,,1.0,,
194,2015-07-19,2015-07-19,Campaign29,inactive,14.0,,1.3921428571429,,,,,,3.0,,
195,2015-07-18,2015-07-18,Campaign29,inactive,15.0,,1.508,,,,,,1.0,,
196,2015-07-17,2015-07-17,Campaign29,inactive,13.0,,1.2438461538462,,,,,,,,
197,2015-07-16,2015-07-16,Campaign29,inactive,13.0,,1.2661538461538,,,,,,1.0,,1.0
198,2015-07-15,2015-07-15,Campaign29,inactive,34.0,,1.4723529411765,,,,,,1.0,,
199,2015-07-14,2015-07-14,Campaign29,inactive,36.0,,1.5163888888888999,,,,,,,,
200,2015-07-13,2015-07-13,Campaign29,inactive,13.0,,1.3892307692308,,,,,,4.0,,1.0
201,2015-07-10,2015-07-10,Campaign30,inactive,,,,,,,,,,,
202,2015-07-10,2015-07-10,Campaign31,inactive,,,,,,,,,,,
203,2015-07-10,2015-07-10,Campaign32,inactive,,,,,,,,,,,
204,2015-07-10,2015-07-10,Campaign33,inactive,,,,,,,,,,,
205,2015-07-10,2015-07-10,Campaign34,inactive,,,,,,,,,,,
206,2015-07-09,2015-07-09,Campaign31,inactive,,,,,,,,,,,
207,2015-07-09,2015-07-09,Campaign34,inactive,2.0,,2.735,,,,,,,,
208,2015-07-09,2015-07-09,Campaign32,inactive,,,,,,,,,,,
209,2015-07-09,2015-07-09,Campaign35,inactive,,,,,,,,,,,
210,2015-07-09,2015-07-09,Campaign33,inactive,,,,,,,,,,,
211,2015-07-09,2015-07-09,Campaign30,inactive,,,,,,,,,,,
212,2015-07-08,2015-07-08,Campaign34,inactive,3.0,,2.7466666666667003,,,,,,,,
213,2015-07-08,2015-07-08,Campaign35,inactive,,,,,,,,,,,
214,2015-07-08,2015-07-08,Campaign36,inactive,,,,,,,,,,,
215,2015-07-08,2015-07-08,Campaign33,inactive,4.0,,2.0025,,,,,,,,
216,2015-07-08,2015-07-08,Campaign37,inactive,,,,,,,,,,,
217,2015-07-08,2015-07-08,Campaign32,inactive,1.0,,3.0,,,,,,,,
218,2015-07-08,2015-07-08,Campaign38,inactive,,,,,,,,,,,
219,2015-07-08,2015-07-08,Campaign39,inactive,,,,,,,,,,,
220,2015-07-08,2015-07-08,Campaign31,inactive,,,,,,,,,,,
221,2015-07-08,2015-07-08,Campaign40,inactive,,,,,,,,,,,
222,2015-07-08,2015-07-08,Campaign30,inactive,,,,,,,,,,,
223,2015-07-07,2015-07-07,Campaign31,inactive,8.0,,2.8775,,,,,,1.0,,
224,2015-07-07,2015-07-07,Campaign32,inactive,1.0,,0.0,,,,,,,,
225,2015-07-07,2015-07-07,Campaign35,inactive,1.0,,0.0,,,,,,,,
226,2015-07-07,2015-07-07,Campaign36,inactive,,,,,,,,,,,
227,2015-07-07,2015-07-07,Campaign40,inactive,,,,,,,,,,,
228,2015-07-07,2015-07-07,Campaign41,inactive,,,,,,,,,,,
229,2015-07-07,2015-07-07,Campaign37,inactive,,,,,,,,,,,
230,2015-07-07,2015-07-07,Campaign38,inactive,,,,,,,,,,,
231,2015-07-07,2015-07-07,Campaign34,inactive,5.0,,2.648,,,,,,1.0,,
232,2015-07-07,2015-07-07,Campaign33,inactive,4.0,,2.02,,,,,,,,
233,2015-07-07,2015-07-07,Campaign39,inactive,,,,,,,,,,,
234,2015-07-07,2015-07-07,Campaign30,inactive,,,,,,,,,,,
235,2015-07-06,2015-07-06,Campaign42,inactive,,,,,,,,,,,
236,2015-07-06,2015-07-06,Campaign38,inactive,,,,,,,,,,,
237,2015-07-06,2015-07-06,Campaign30,inactive,1.0,,0.43,,,,,,,,
238,2015-07-06,2015-07-06,Campaign35,inactive,3.0,,1.39,,,,,,,,
239,2015-07-06,2015-07-06,Campaign33,inactive,1.0,,2.19,,,,,,,,
240,2015-07-06,2015-07-06,Campaign32,inactive,,,,,,,,,,,
241,2015-07-06,2015-07-06,Campaign36,inactive,,,,,,,,,,,
242,2015-07-06,2015-07-06,Campaign41,inactive,,,,,,,,,,,
243,2015-07-06,2015-07-06,Campaign40,inactive,,,,,,,,,,,
244,2015-07-06,2015-07-06,Campaign34,inactive,16.0,,2.418125,,,,,,1.0,,
245,2015-07-06,2015-07-06,Campaign31,inactive,9.0,,2.2755555555556004,,,,,,,,
246,2015-07-06,2015-07-06,Campaign39,inactive,,,,,,,,,,,
247,2015-07-06,2015-07-06,Campaign37,inactive,,,,,,,,,,,
248,2015-07-05,2015-07-05,Campaign39,inactive,,,,,,,,,,,
249,2015-07-05,2015-07-05,Campaign33,inactive,8.0,,2.41,,,,,,,,
250,2015-07-05,2015-07-05,Campaign40,inactive,,,,,,,,,,,
251,2015-07-05,2015-07-05,Campaign41,inactive,2.0,,1.44,,,,,,,,1.0
252,2015-07-05,2015-07-05,Campaign35,inactive,5.0,,2.292,,,,,,,,
253,2015-07-05,2015-07-05,Campaign34,inactive,8.0,,1.9925,,,,,,,,
254,2015-07-05,2015-07-05,Campaign31,inactive,11.0,,2.3254545454545,,,,,,4.0,,1.0
255,2015-07-05,2015-07-05,Campaign37,inactive,,,,,,,,,,,
256,2015-07-05,2015-07-05,Campaign38,inactive,,,,,,,,,1.0,,
257,2015-07-05,2015-07-05,Campaign32,inactive,,,,,,,,,,,
258,2015-07-05,2015-07-05,Campaign36,inactive,,,,,,,,,,,
259,2015-07-05,2015-07-05,Campaign42,inactive,3.0,,2.87,,,,,,,,
260,2015-07-04,2015-07-04,Campaign41,inactive,,,,,,,,,,,
261,2015-07-04,2015-07-04,Campaign35,inactive,1.0,,2.73,,,,,,,,
262,2015-07-04,2015-07-04,Campaign31,inactive,10.0,,2.3369999999999997,,,,,,1.0,,
263,2015-07-04,2015-07-04,Campaign36,inactive,,,,,,,,,,,
264,2015-07-04,2015-07-04,Campaign34,inactive,5.0,,2.872,,,,,,,,
265,2015-07-04,2015-07-04,Campaign33,inactive,3.0,,2.6966666666667,,,,,,,,
